issue_key,story_points
GQA-5126,0.5
GQA-5125,0.5
GQA-5124,0.5
GQA-5123,2
GQA-5122,0.5
GQA-5121,2
GQA-5120,0.5
GQA-5119,2
GQA-5118,0.5
GQA-5117,2
GQA-5116,0.5
GQA-5115,2
GQA-5114,0.5
GQA-5113,2
GQA-5112,0.5
GQA-5111,2
GQA-5110,0.5
GQA-5109,2
GQA-5108,0.5
GQA-5107,2
GQA-5106,0.5
GQA-5105,2
GQA-5104,0.5
GQA-5103,2
GQA-5102,0.5
GQA-5101,2
GQA-5100,0.5
GQA-5099,2
GQA-5098,0.5
GQA-5097,2
GQA-5096,0.5
GQA-5095,2
GQA-5094,0.5
GQA-5093,2
GQA-5092,0.5
GQA-5091,2
GQA-5090,0.5
GQA-5089,2
GQA-5088,0.5
GQA-5087,2
GQA-5086,0.5
GQA-5085,2
GQA-5084,1
GQA-5083,1
GQA-5079,2
GQA-5077,1
GQA-5076,1
GQA-5074,2
GQA-5070,2
GQA-5069,1
GQA-5068,1
GQA-5067,0.5
GQA-5066,0.5
GQA-5065,0.5
GQA-5064,2
GQA-5062,1
GQA-5061,1
GQA-5060,1
GQA-5059,2
GQA-5056,2
GQA-5054,1
GQA-5053,1
GQA-5052,0.5
GQA-5051,0.5
GQA-5050,0.5
GQA-5049,2
GQA-5048,2
GQA-5047,1
GQA-5046,1
GQA-5045,1
GQA-5044,2
GQA-5043,2
GQA-5042,2
GQA-5041,2
GQA-5040,2
GQA-5039,1
GQA-5038,1
GQA-5037,0.5
GQA-5034,2
GQA-5033,2
GQA-5026,2
GQA-5025,1
GQA-5024,1
GQA-5020,2
GQA-5019,2
GQA-5018,1
GQA-5017,1
GQA-5016,1
GQA-5015,2
GQA-5014,2
GQA-5013,2
GQA-4978,0.5
GQA-4977,2
GQA-4976,0.5
GQA-4975,2
GQA-4613,2
GQA-4612,2
GQA-4611,2
GQA-4610,2
GQA-4609,2
GQA-4608,2
GQA-4607,2
GQA-4606,2
GQA-4605,2
GQA-4592,1
GQA-4591,1
GQA-4590,0.5
GQA-4589,0.5
GQA-4588,0.5
GQA-4587,2
GQA-4586,2
GQA-4585,1
GQA-4584,1
GQA-4580,2
GQA-4579,2
GQA-4578,2
GQA-4576,0.5
GQA-4575,0.5
GQA-4574,0.5
GQA-4573,2
GQA-4572,2
GQA-4571,2
GQA-4570,2
GQA-4566,0.5
GQA-4565,2
GQA-4564,0.5
GQA-4563,2
GQA-4562,0.5
GQA-4561,2
GQA-4560,0.5
GQA-4559,2
GQA-4558,0.5
GQA-4557,2
GQA-4556,0.5
GQA-4555,2
GQA-4554,0.5
GQA-4553,2
GQA-4552,0.5
GQA-4551,2
GQA-4550,0.5
GQA-4549,2
GQA-5146,1
GQA-5145,1
GQA-5144,1
GQA-5071,2
GQA-5032,1
GQA-5031,1
GQA-4569,2
GQA-4568,2
GQA-4567,2
